teamLoc,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamPTS1,teamPTS2,teamRslt
0,124,22,18,8,7,20,90,44,0.4889,66,30,0.4545,24,14,0.5833,28,22,0.7857,15,42,29,31,1
1,76,10,16,9,8,22,89,28,0.3146,62,21,0.3387,27,7,0.2593,18,13,0.7222,10,23,21,14,0
0,105,19,16,7,3,14,83,33,0.3976,38,21,0.5526,45,12,0.2667,29,27,0.931,12,32,26,26,1
1,100,19,18,5,4,20,88,42,0.4773,65,34,0.5231,23,8,0.3478,10,8,0.8,9,33,25,23,0
0,101,22,19,7,2,23,89,37,0.4157,56,26,0.4643,33,11,0.3333,19,16,0.8421,10,29,23,14,0
1,117,26,17,10,4,19,83,39,0.4699,54,26,0.4815,29,13,0.4483,28,26,0.9286,13,36,25,33,1
0,84,19,26,8,4,23,79,32,0.4051,55,25,0.4545,24,7,0.2917,20,13,0.65,11,30,24,18,0
1,105,26,20,14,7,22,90,39,0.4333,52,28,0.5385,38,11,0.2895,22,16,0.7273,13,28,27,26,1
0,108,23,15,12,3,20,107,42,0.3925,74,30,0.4054,33,12,0.3636,13,12,0.9231,17,42,27,26,1
1,92,21,20,8,7,15,91,37,0.4066,75,33,0.44,16,4,0.25,23,14,0.6087,12,40,19,23,0
0,91,19,13,11,4,29,95,36,0.3789,65,29,0.4462,30,7,0.2333,14,12,0.8571,6,32,28,28,0
1,109,17,21,5,4,18,86,37,0.4302,50,26,0.52,36,11,0.3056,30,24,0.8,12,45,18,31,1
0,114,19,9,5,6,26,95,46,0.4842,76,37,0.4868,19,9,0.4737,17,13,0.7647,11,40,31,31,1
1,96,15,12,1,4,17,78,35,0.4487,60,31,0.5167,18,4,0.2222,33,22,0.6667,6,33,25,27,0
0,116,25,17,8,3,10,81,44,0.5432,55,33,0.6,26,11,0.4231,17,17,1,9,35,25,30,1
1,97,23,15,8,2,17,82,38,0.4634,47,27,0.5745,35,11,0.3143,12,10,0.8333,8,22,25,24,0
0,102,16,19,4,5,24,84,35,0.4167,55,25,0.4545,29,10,0.3448,32,22,0.6875,14,41,24,22,1
1,92,20,17,7,4,30,92,35,0.3804,60,25,0.4167,32,10,0.3125,16,12,0.75,14,33,21,29,0
0,111,19,19,12,1,31,87,43,0.4943,64,33,0.5156,23,10,0.4348,20,15,0.75,10,23,31,34,0
1,115,25,17,12,7,18,75,40,0.5333,58,34,0.5862,17,6,0.3529,35,29,0.8286,7,30,29,29,1
0,121,30,22,9,3,27,89,45,0.5056,56,27,0.4821,33,18,0.5455,15,13,0.8667,9,31,27,28,0
1,126,22,18,13,6,17,92,46,0.5,65,37,0.5692,27,9,0.3333,35,25,0.7143,15,33,29,29,1
0,97,23,19,10,8,21,77,37,0.4805,55,28,0.5091,22,9,0.4091,17,14,0.8235,7,31,16,26,0
1,100,17,16,11,2,17,81,36,0.4444,59,29,0.4915,22,7,0.3182,26,21,0.8077,10,34,19,27,1
0,93,20,15,8,3,18,87,37,0.4253,64,27,0.4219,23,10,0.4348,13,9,0.6923,16,41,19,27,1
1,88,19,12,8,7,13,75,31,0.4133,42,20,0.4762,33,11,0.3333,21,15,0.7143,7,29,23,23,0
0,128,31,18,5,8,23,91,47,0.5165,51,29,0.5686,40,18,0.45,20,16,0.8,10,39,26,35,1
1,120,28,17,8,2,19,98,45,0.4592,62,29,0.4677,36,16,0.4444,22,14,0.6364,16,34,39,25,0
0,132,22,19,8,3,31,94,48,0.5106,68,36,0.5294,26,12,0.4615,33,24,0.7273,5,37,40,30,1
1,130,17,20,8,9,25,92,45,0.4891,63,31,0.4921,29,14,0.4828,38,26,0.6842,10,40,36,37,0
0,94,18,20,5,4,26,82,32,0.3902,58,24,0.4138,24,8,0.3333,36,22,0.6111,8,33,19,30,0
1,128,23,13,5,10,29,89,42,0.4719,45,29,0.6444,44,13,0.2955,37,31,0.8378,8,43,36,26,1
0,87,25,11,8,3,14,93,38,0.4086,81,37,0.4568,12,1,0.0833,16,10,0.625,14,38,19,22,1
1,77,18,20,3,5,15,82,31,0.378,54,23,0.4259,28,8,0.2857,9,7,0.7778,8,40,21,17,0
0,114,28,12,7,6,28,90,40,0.4444,55,23,0.4182,35,17,0.4857,20,17,0.85,12,38,36,20,1
1,93,15,16,4,7,14,86,33,0.3837,61,26,0.4262,25,7,0.28,27,20,0.7407,11,33,18,27,0
0,91,19,14,6,0,19,84,31,0.369,53,18,0.3396,31,13,0.4194,21,16,0.7619,8,33,20,19,0
1,107,17,15,12,4,24,82,39,0.4756,35,28,0.8,47,11,0.234,22,18,0.8182,8,46,33,29,1
